频率(Hz) | 理论值(V) | 仿真值(V) | 误差
--------------------------------------------------
    10.0 |    0.9980 |    0.9980 |  0.00%
    13.3 |    0.9965 |    0.9965 |  0.00%
    17.8 |    0.9938 |    0.9938 |  0.00%
    23.7 |    0.9891 |    0.9891 |  0.00%
    31.6 |    0.9808 |    0.9808 |  0.00%
    42.2 |    0.9666 |    0.9666 |  0.00%
    56.2 |    0.9429 |    0.9429 |  0.00%
    75.0 |    0.9046 |    0.9046 |  0.00%
   100.0 |    0.8467 |    0.8467 |  0.00%
   133.4 |    0.7665 |    0.7665 |  0.00%
   177.8 |    0.6669 |    0.6669 |  0.00%
   237.1 |    0.5573 |    0.5573 |  0.00%
   316.2 |    0.4496 |    0.4496 |  0.00%
   421.7 |    0.3531 |    0.3531 |  0.00%
   562.3 |    0.2723 |    0.2723 |  0.00%
   749.9 |    0.2076 |    0.2076 |  0.00%
  1000.0 |    0.1572 |    0.1572 |  0.00%
  1333.5 |    0.1185 |    0.1185 |  0.00%
  1778.3 |    0.0891 |    0.0891 |  0.00%
  2371.4 |    0.0670 |    0.0670 |  0.00%
  3162.3 |    0.0503 |    0.0503 |  0.00%
  4217.0 |    0.0377 |    0.0377 |  0.00%
  5623.4 |    0.0283 |    0.0283 |  0.00%
  7498.9 |    0.0212 |    0.0212 |  0.00%
 10000.0 |    0.0159 |    0.0159 |  0.00%
 13335.2 |    0.0119 |    0.0119 |  0.00%
 17782.8 |    0.0089 |    0.0089 |  0.00%
 23713.7 |    0.0067 |    0.0067 |  0.00%
 31622.8 |    0.0050 |    0.0050 |  0.00%
 42169.7 |    0.0038 |    0.0038 |  0.00%
 56234.1 |    0.0028 |    0.0028 |  0.00%
 74989.4 |    0.0021 |    0.0021 |  0.00%
100000.0 |    0.0016 |    0.0016 |  0.00%
